cell_id,ix,iz,x,z,rho_true,rho_est
0,0,0,0,0,0,-0.00266991
1,0,1,0,-1,0,0.00203477
2,0,2,0,-2,0,0.00792233
3,0,3,0,-3,0,0.0138542
4,0,4,0,-4,0,0.0192463
5,0,5,0,-5,0,0.023812
6,0,6,0,-6,0,0.0274436
7,0,7,0,-7,0,0.0301297
8,0,8,0,-8,0,0.0318986
9,0,9,0,-9,0,0.0327795
10,1,0,1,0,0,-0.00175213
11,1,1,1,-1,0,0.00307265
12,1,2,1,-2,0,0.00920109
13,1,3,1,-3,0,0.0152702
14,1,4,1,-4,0,0.0206726
15,1,5,1,-5,0,0.0251623
16,1,6,1,-6,0,0.0286795
17,1,7,1,-7,0,0.0312512
18,1,8,1,-8,0,0.0329309
19,1,9,1,-9,0,0.0337635
20,2,0,2,0,0,0.000354171
21,2,1,2,-1,0,0.00572177
22,2,2,2,-2,0,0.0122408
23,2,3,2,-3,0,0.0184224
24,2,4,2,-4,0,0.023704
25,2,5,2,-5,0,0.0279394
26,2,6,2,-6,0,0.0311618
27,2,7,2,-7,0,0.0334653
28,2,8,2,-8,0,0.034946
29,2,9,2,-9,0,0.0356728
30,3,0,3,0,0,0.0046532
31,3,1,3,-1,0,0.0107795
32,3,2,3,-2,0,0.0176401
33,3,3,3,-3,0,0.023682
34,3,4,3,-4,0,0.0285172
35,3,5,3,-5,0,0.0321828
36,3,6,3,-6,0,0.0348449
37,3,7,3,-7,0,0.0366793
38,3,8,3,-8,0,0.0378271
39,3,9,3,-9,0,0.038381
40,4,0,4,0,0,0.0125922
41,4,1,4,-1,0,0.0193914
42,4,2,4,-2,0,0.0261107
43,4,3,4,-3,0,0.0313889
44,4,4,4,-4,0,0.0351954
45,4,5,4,-5,0,0.0378228
46,4,6,4,-6,0,0.039579
47,4,7,4,-7,0,0.0407067
48,4,8,4,-8,0,0.0413739
49,4,9,4,-9,0,0.0416838
50,5,0,5,0,0,0.0263582
51,5,1,5,-1,0,0.0329488
52,5,2,5,-2,0,0.0382654
53,5,3,5,-3,0,0.0416507
54,5,4,5,-4,0,0.0435813
55,5,5,5,-5,0,0.0445875
56,5,6,5,-6,0,0.0450576
57,5,7,5,-7,0,0.0452419
58,5,8,5,-8,0,0.0452921
59,5,9,5,-9,0,0.0452953
60,6,0,6,0,0,0.0485209
61,6,1,6,-1,0,0.0524035
62,6,2,6,-2,0,0.0540514
63,6,3,6,-3,0,0.0539897
64,6,4,6,-4,0,0.0530857
65,6,5,6,-5,0,0.0519117
66,6,6,6,-6,0,0.0507817
67,6,7,6,-7,0,0.0498526
68,6,8,6,-8,0,0.0491991
69,6,9,6,-9,0,0.0488592
70,7,0,7,0,0,0.0791018
71,7,1,7,-1,0,0.0764332
72,7,2,7,-2,0,0.071838
73,7,3,7,-3,0,0.0669503
74,7,4,7,-4,0,0.0625468
75,7,5,7,-5,0,0.0589049
