receiver_id,x,z,g_obs,g_calc,residual
0,0,1,0.0499959,0.0502119,-0.000215923
1,0.20202,1,0.0526137,0.0527206,-0.000106847
2,0.40404,1,0.0554032,0.0555143,-0.000111094
3,0.606061,1,0.0583773,0.0584754,-9.81192e-05
4,0.808081,1,0.0615498,0.0615819,-3.21268e-05
5,1.0101,1,0.0649356,0.0649159,1.97117e-05
6,1.21212,1,0.0685508,0.0685538,-2.98212e-06
7,1.41414,1,0.0724126,0.0724876,-7.50011e-05
8,1.61616,1,0.0765393,0.0766662,-0.000126951
9,1.81818,1,0.0809507,0.0810687,-0.000118016
10,2.0202,1,0.0856678,0.0857275,-5.97682e-05
11,2.22222,1,0.0907128,0.0907211,-8.29836e-06
12,2.42424,1,0.0961095,0.0961405,-3.10256e-05
13,2.62626,1,0.101883,0.10202,-0.000137147
14,2.82828,1,0.108058,0.108282,-0.000223868
15,3.0303,1,0.114664,0.114819,-0.00015502
16,3.23232,1,0.121727,0.121696,3.08601e-05
17,3.43434,1,0.129276,0.129192,8.39825e-05
18,3.63636,1,0.13734,0.137487,-0.000146663
19,3.83838,1,0.145947,0.146372,-0.000424129
20,4.0404,1,0.155125,0.155459,-0.000333335
21,4.24242,1,0.1649,0.164798,0.000101673
22,4.44444,1,0.175293,0.175006,0.000286654
23,4.64646,1,0.186323,0.186494,-0.000171008
24,4.84848,1,0.198004,0.198778,-0.000773884
25,5.05051,1,0.210341,0.210961,-0.000619672
26,5.25253,1,0.223332,0.223069,0.00026235
27,5.45455,1,0.23696,0.236289,0.00067137
28,5.65657,1,0.251198,0.251371,-0.000172727
29,5.85859,1,0.266001,0.267308,-0.00130702
30,6.06061,1,0.281308,0.282334,-0.00102642
31,6.26263,1,0.297035,0.296427,0.000607552
32,6.46465,1,0.31308,0.311658,0.00142174
33,6.66667,1,0.329317,0.329279,3.88659e-05
34,6.86869,1,0.345603,0.347487,-0.00188434
35,7.07071,1,0.361771,0.363248,-0.00147709
36,7.27273,1,0.37764,0.376463,0.00117761
37,7.47475,1,0.393019,0.390399,0.00262032
38,7.67677,1,0.407707,0.407035,0.000671598
39,7.87879,1,0.421503,0.423744,-0.0022408
40,8.08081,1,0.434211,0.43613,-0.00191895
41,8.28283,1,0.445646,0.444025,0.00162062
42,8.48485,1,0.455637,0.451927,0.00371023
43,8.68687,1,0.464035,0.46264,0.00139492
44,8.88889,1,0.470713,0.473055,-0.00234187
45,9.09091,1,0.47557,0.477882,-0.00231181
46,9.29293,1,0.478534,0.476933,0.00160091
47,9.49495,1,0.47956,0.475462,0.00409708
48,9.69697,1,0.478632,0.476825,0.00180683
49,9.89899,1,0.475764,0.477943,-0.00217965
50,10.101,1,0.471,0.47346,-0.00246047
51,10.303,1,0.46441,0.463212,0.0011985
52,10.5051,1,0.456096,0.452393,0.00370227
53,10.7071,1,0.446181,0.444378,0.00180242
54,10.9091,1,0.434814,0.43661,-0.0017952
55,11.1111,1,0.422166,0.424493,-0.0023277
56,11.3131,1,0.408419,0.407903,0.000516407
57,11.5152,1,0.393771,0.391162,0.00260924
58,11.7172,1,0.378423,0.377112,0.00131105
59,11.9192,1,0.362573,0.363956,-0.00138367
60,12.1212,1,0.346415,0.348354,-0.00193874
61,12.3232,1,0.330132,0.330194,-6.25906e-05
62,12.5253,1,0.313888,0.312474,0.00141387
63,12.7273,1,0.29783,0.297142,0.00068883
64,12.9293,1,0.282085,0.283057,-0.000972654
65,13.1313,1,0.266755,0.268095,-0.00133995
66,13.3333,1,0.251925,0.252153,-0.000227244
67,13.5354,1,0.237658,0.236986,0.000671944
68,13.7374,1,0.223998,0.223692,0.000306476
69,13.9394,1,0.210976,0.211572,-0.000596426
70,14.1414,1,0.198605,0.199398,-0.000792866
71,14.3434,1,0.186892,0.187083,-0.000191552
72,14.5455,1,0.175829,0.175533,0.00029617
73,14.7475,1,0.165404,0.165281,0.00012368
74,14.9495,1,0.1556,0.155929,-0.000329284
75,15.1515,1,0.146393,0.146827,-0.000434714
76,15.3535,1,0.137757,0.137904,-0.000146565
77,15.5556,1,0.129667,0.129569,9.81262e-05
78,15.7576,1,0.122093,0.122054,3.83425e-05
79,15.9596,1,0.115006,0.115167,-0.000161493
80,16.1616,1,0.108378,0.108601,-0.000222611
81,16.3636,1,0.102182,0.102292,-0.000109944
82,16.5657,1,0.096389,0.0963818,7.25125e-06
83,16.7677,1,0.0909741,0.0909617,1.24031e-05
84,16.9697,1,0.085912,0.0859734,-6.1317e-05
85,17.1717,1,0.0811791,0.0813027,-0.000123589
86,17.3737,1,0.0767529,0.0768874,-0.000134486
87,17.5758,1,0.0726124,0.0727238,-0.000111388
88,17.7778,1,0.0687379,0.06882,-8.21353e-05
89,17.9798,1,0.0651108,0.0651698,-5.90167e-05
90,18.1818,1,0.0617139,0.0617441,-3.01758e-05
91,18.3838,1,0.0585311,0.0584962,3.49408e-05
92,18.5859,1,0.0555474,0.0553993,0.000148141
93,18.7879,1,0.052749,0.0524902,0.000258836
94,18.9899,1,0.0501229,0.0498565,0.000266403
95,19.1919,1,0.0476572,0.0475482,0.000108987
96,19.3939,1,0.0453407,0.0455094,-0.000168707
97,19.596,1,0.0431632,0.0436271,-0.000463946
98,19.798,1,0.041115,0.0418162,-0.000701153
99,20,1,0.0391875,0.0400436,-0.000856105
